naics,z0
3111,0.86083841
3112,0.85454518
3113,0.86811757
3114,0.86632788
3115,0.87245637
3116,0.86801058
3117,0.87139028
3118,0.87025452
3119,0.87081271
3121,0.87598878
3122,0.87458402
3131,0.87923342
3132,0.87923342
3133,0.87923342
3141,0.87988198
3149,0.87988198
3151,0.89097929
3152,0.88795292
3159,0.88686621
3161,0.88547635
3162,0.88317418
3169,0.88846427
3211,0.87306082
3212,0.87252802
3219,0.87160617
3221,0.86787421
3222,0.8722291
3231,0.88190031
3241,0.85880959
3251,0.88516033
3252,0.8813327
3253,0.87963158
3254,0.88580638
3255,0.88016713
3256,0.88734078
3259,0.88346338
3261,0.8784979
3262,0.87985408
3271,0.87222981
3272,0.87980872
3273,0.87137252
3274,0.86354733
3279,0.87746012
3311,0.86724061
3312,0.87088031
3313,0.87198061
3314,0.87193662
3315,0.86959362
3321,0.87267143
3322,0.87781727
3323,0.8768186
3324,0.87720132
3325,0.88274878
3326,0.87251681
3327,0.87545842
3328,0.87230098
3329,0.87801319
3331,0.87997168
3332,0.88058507
3333,0.88987082
3334,0.87992913
3335,0.8767134
3336,0.87866032
3339,0.88039911
3341,0.89571679
3342,0.89540517
3343,0.88963348
3344,0.89383757
3345,0.88968152
3346,0.8951599
3351,0.88205028
3352,0.88233739
3353,0.88557333
3359,0.88757271
3361,0.88026857
3362,0.87307549
3363,0.87676758
3364,0.87833142
3365,0.8759082
3366,0.87045997
3369,0.8796156
3371,0.87868971
3372,0.87868971
3379,0.87868971
3391,0.88938212
3399,0.88331658
